,name,party,email
38,Andreia Siqueira, MDB,dep.andreiasiqueira@camara.leg.br
39,Antônia Lúcia, REPUBLICANOS,dep.antonialucia@camara.leg.br
40,Antonio Andrade, REPUBLICANOS,dep.antonioandrade@camara.leg.br
41,Antonio Brito, PSD,dep.antoniobrito@camara.leg.br
42,Antonio Carlos Rodrigues, PL,dep.antoniocarlosrodrigues@camara.leg.br
43,Antônio Doido, MDB,dep.antoniodoido@camara.leg.br
44,Any Ortiz, CIDADANIA,dep.anyortiz@camara.leg.br
45,Arlindo Chinaglia, PT,dep.arlindochinaglia@camara.leg.br
46,Arnaldo Jardim, CIDADANIA,dep.arnaldojardim@camara.leg.br
47,Arthur Lira, PP,dep.arthurlira@camara.leg.br
48,Arthur Oliveira Maia, UNIÃO,dep.arthuroliveiramaia@camara.leg.br
49,Átila Lins, PSD,dep.atilalins@camara.leg.br
50,Átila Lira, PP,dep.atilamlira@camara.leg.br
51,Augusto Coutinho, REPUBLICANOS,dep.augustocoutinho@camara.leg.br
52,Augusto Puppio, MDB,dep.augustopuppio@camara.leg.br
53,Aureo Ribeiro, SOLIDARIEDADE,dep.aureoribeiro@camara.leg.br
54,Bacelar, PV,dep.bacelar@camara.leg.br
55,Baleia Rossi, MDB,dep.baleiarossi@camara.leg.br
56,Bandeira de Mello, PSB,dep.bandeirademello@camara.leg.br
57,Bebeto, PP,dep.bebeto@camara.leg.br
58,Benedita da Silva, PT,dep.beneditadasilva@camara.leg.br
59,Benes Leocádio, UNIÃO,dep.benesleocadio@camara.leg.br
60,Beto Pereira, PSDB,dep.betopereira@camara.leg.br
61,Beto Richa, PSDB,dep.betoricha@camara.leg.br
62,Bia Kicis, PL,dep.biakicis@camara.leg.br
63,Bibo Nunes, PL,dep.bibonunes@camara.leg.br
64,Bohn Gass, PT,dep.bohngass@camara.leg.br
65,Bruno Farias, AVANTE,dep.brunofarias@camara.leg.br
66,Bruno Ganem, PODE,dep.brunoganem@camara.leg.br
67,Cabo Gilberto Silva, PL,dep.cabogilbertosilva@camara.leg.br
68,Caio Vianna, PSD,dep.caiovianna@camara.leg.br
69,Camila Jara, PT,dep.camilajara@camara.leg.br
70,Capitão Alberto Neto, PL,dep.capitaoalbertoneto@camara.leg.br
71,Capitão Alden, PL,dep.capitaoalden@camara.leg.br
72,Capitão Augusto, PL,dep.capitaoaugusto@camara.leg.br
73,Carla Zambelli, PL,dep.carlazambelli@camara.leg.br
74,Carlos Chiodini, MDB,dep.carloschiodini@camara.leg.br
75,Carlos Henrique Gaguim, UNIÃO,dep.carloshenriquegaguim@camara.leg.br
76,Carlos Jordy, PL,dep.carlosjordy@camara.leg.br
77,Carlos Sampaio, PSD,dep.carlossampaio@camara.leg.br
78,Carlos Veras, PT,dep.carlosveras@camara.leg.br
79,Carlos Zarattini, PT,dep.carloszarattini@camara.leg.br
80,Carol Dartora, PT,dep.caroldartora@camara.leg.br
81,Caroline de Toni, PL,dep.carolinedetoni@camara.leg.br
82,Castro Neto, PSD,dep.castroneto@camara.leg.br
83,Célia Xakriabá, PSOL,dep.celiaxakriaba@camara.leg.br
84,Célio Silveira, MDB,dep.celiosilveira@camara.leg.br
85,Celso Russomanno, REPUBLICANOS,dep.celsorussomanno@camara.leg.br
86,Cezinha de Madureira, PSD,dep.cezinhademadureira@camara.leg.br
87,Charles Fernandes, PSD,dep.charlesfernandes@camara.leg.br
88,Chico Alencar, PSOL,dep.chicoalencar@camara.leg.br
89,Chiquinho Brazão, UNIÃO,dep.chiquinhobrazao@camara.leg.br
90,Chris Tonietto, PL,dep.christonietto@camara.leg.br
91,Clarissa Tércio, PP,dep.clarissatercio@camara.leg.br
92,Claudio Cajado, PP,dep.claudiocajado@camara.leg.br
93,Cleber Verde, MDB,dep.cleberverde@camara.leg.br
94,Clodoaldo Magalhães, PV,dep.clodoaldomagalhaes@camara.leg.br
95,Cobalchini, MDB,dep.cobalchini@camara.leg.br
96,Coronel Assis, UNIÃO,dep.coronelassis@camara.leg.br
97,Coronel Chrisóstomo, PL,dep.coronelchrisostomo@camara.leg.br
98,Coronel Meira, PL,dep.coronelmeira@camara.leg.br
99,Coronel Telhada, PP,dep.coroneltelhada@camara.leg.br
100,Coronel Ulysses, UNIÃO,dep.coronelulysses@camara.leg.br
101,Covatti Filho, PP,dep.covattifilho@camara.leg.br
102,Cristiane Lopes, UNIÃO,dep.cristianelopes@camara.leg.br
103,Da Vitoria, PP,dep.davitoria@camara.leg.br
104,Dagoberto Nogueira, PSDB,dep.dagobertonogueira@camara.leg.br
105,Daiana Santos, PCdoB,dep.daianasantos@camara.leg.br
106,Dal Barreto, UNIÃO,dep.dalbarreto@camara.leg.br
107,Damião Feliciano, UNIÃO,dep.damiaofeliciano@camara.leg.br
108,Dandara, PT,dep.dandara@camara.leg.br
109,Dani Cunha, UNIÃO,dep.danicunha@camara.leg.br
110,Daniel Agrobom, PL,dep.danielagrobom@camara.leg.br
111,Daniel Almeida, PCdoB,dep.danielalmeida@camara.leg.br
112,Daniel Barbosa, PP,dep.danielbarbosa@camara.leg.br
113,Daniel Freitas, PL,dep.danielfreitas@camara.leg.br
114,Daniel Trzeciak, PSDB,dep.danieltrzeciak@camara.leg.br
115,Daniela do Waguinho, UNIÃO,dep.danieladowaguinho@camara.leg.br
116,Daniela Reinehr, PL,dep.danielareinehr@camara.leg.br
117,Danilo Forte, UNIÃO,dep.daniloforte@camara.leg.br
118,Darci de Matos, PSD,dep.darcidematos@camara.leg.br
119,David Soares, UNIÃO,dep.davidsoares@camara.leg.br
120,Dayany Bittencourt, UNIÃO,dep.dayanybittencourt@camara.leg.br
121,Defensor Stélio Dener, REPUBLICANOS,dep.defensorsteliodener@camara.leg.br
122,Delegada Adriana Accorsi, PT,dep.delegadaadrianaaccorsi@camara.leg.br
123,Delegada Ione, AVANTE,dep.delegadaione@camara.leg.br
124,Delegada Katarina, PSD,dep.delegadakatarina@camara.leg.br
125,Delegado Caveira, PL,dep.delegadocaveira@camara.leg.br
126,Delegado da Cunha, PP,dep.delegadodacunha@camara.leg.br
127,Delegado Éder Mauro, PL,dep.delegadoedermauro@camara.leg.br
128,Delegado Fabio Costa, PP,dep.delegadofabiocosta@camara.leg.br
129,Delegado Marcelo Freitas, UNIÃO,dep.delegadomarcelofreitas@camara.leg.br
130,Delegado Matheus Laiola, UNIÃO,dep.delegadomatheuslaiola@camara.leg.br
131,Delegado Palumbo, MDB,dep.delegadopalumbo@camara.leg.br
132,Delegado Paulo Bilynskyj, PL,dep.delegadopaulobilynskyj@camara.leg.br
133,Delegado Ramagem, PL,dep.delegadoramagem@camara.leg.br
134,Denise Pessôa, PT,dep.denisepessoa@camara.leg.br
135,Diego Andrade, PSD,dep.diegoandrade@camara.leg.br
136,Diego Coronel, PSD,dep.diegocoronel@camara.leg.br
137,Diego Garcia, REPUBLICANOS,dep.diegogarcia@camara.leg.br
138,Dilceu Sperafico, PP,dep.dilceusperafico@camara.leg.br
139,Dilvanda Faro, PT,dep.dilvandafaro@camara.leg.br
140,Dimas Fabiano, PP,dep.dimasfabiano@camara.leg.br
141,Dimas Gadelha, PT,dep.dimasgadelha@camara.leg.br
142,Domingos Neto, PSD,dep.domingosneto@camara.leg.br
143,Domingos Sávio, PL,dep.domingossavio@camara.leg.br
144,Dorinaldo Malafaia, PDT,dep.dorinaldomalafaia@camara.leg.br
145,Douglas Viegas, UNIÃO,dep.douglasviegas@camara.leg.br
146,Doutor Luizinho, PP,dep.doutorluizinho@camara.leg.br
147,Dr Fabio Rueda, UNIÃO,dep.drfabiorueda@camara.leg.br
148,Dr. Allan Garcês, PP,dep.dr.allangarces@camara.leg.br
149,Dr. Benjamim, UNIÃO,dep.dr.benjamim@camara.leg.br
150,Dr. Fernando Máximo, UNIÃO,dep.dr.fernandomaximo@camara.leg.br
151,Dr. Francisco, PT,dep.dr.francisco@camara.leg.br
152,Dr. Frederico, PRD,dep.dr.frederico@camara.leg.br
153,Dr. Jaziel, PL,dep.dr.jaziel@camara.leg.br
154,Dr. Luiz Ovando, PP,dep.dr.luizovando@camara.leg.br
155,Dr. Victor Linhalis, PODE,dep.dr.victorlinhalis@camara.leg.br
156,Dr. Zacharias Calil, UNIÃO,dep.dr.zachariascalil@camara.leg.br
157,Dra. Alessandra Haber, MDB,dep.dra.alessandrahaber@camara.leg.br
158,Duarte Gonçalves Jr, REPUBLICANOS,dep.duartegoncalvesjr@camara.leg.br
159,Duarte Jr., PSB,dep.duartejr@camara.leg.br
160,Duda Ramos, MDB,dep.dudaramos@camara.leg.br
161,Duda Salabert, PDT,dep.dudasalabert@camara.leg.br
162,Eduardo Bismarck, PDT,dep.eduardobismarck@camara.leg.br
163,Eduardo Bolsonaro, PL,dep.eduardobolsonaro@camara.leg.br
164,Eduardo da Fonte, PP,dep.eduardodafonte@camara.leg.br
165,Elcione Barbalho, MDB,dep.elcionebarbalho@camara.leg.br
166,Eli Borges, PL,dep.eliborges@camara.leg.br
167,Elmar Nascimento, UNIÃO,dep.elmarnascimento@camara.leg.br
168,Ely Santos, REPUBLICANOS,dep.elysantos@camara.leg.br
169,Emanuel Pinheiro Neto, MDB,dep.emanuelpinheironeto@camara.leg.br
170,Emidinho Madeira, PL,dep.emidinhomadeira@camara.leg.br
171,Eriberto Medeiros, PSB,dep.eribertomedeiros@camara.leg.br
172,Erika Hilton, PSOL,dep.erikahilton@camara.leg.br
173,Erika Kokay, PT,dep.erikakokay@camara.leg.br
174,Eros Biondini, PL,dep.erosbiondini@camara.leg.br
175,Eunício Oliveira, MDB,dep.euniciooliveira@camara.leg.br
176,Evair Vieira de Melo, PP,dep.evairvieirademelo@camara.leg.br
177,Fábio Macedo, PODE,dep.fabiomacedo@camara.leg.br
178,Fabio Schiochet, UNIÃO,dep.fabioschiochet@camara.leg.br
179,Fábio Teruel, MDB,dep.fabioteruel@camara.leg.br
180,Fausto Pinato, PP,dep.faustopinato@camara.leg.br
181,Felipe Carreras, PSB,dep.felipecarreras@camara.leg.br
182,Felipe Francischini, UNIÃO,dep.felipefrancischini@camara.leg.br
183,Felipe Saliba, PRD,dep.felipesaliba@camara.leg.br
184,Félix Mendonça Júnior, PDT,dep.felixmendoncajunior@camara.leg.br
185,Fernanda Melchionna, PSOL,dep.fernandamelchionna@camara.leg.br
186,Fernanda Pessoa, UNIÃO,dep.fernandapessoa@camara.leg.br
187,Fernando Coelho Filho, UNIÃO,dep.fernandocoelhofilho@camara.leg.br
188,Fernando Mineiro, PT,dep.fernandomineiro@camara.leg.br
189,Fernando Monteiro, PP,dep.fernandomonteiro@camara.leg.br
190,Fernando Rodolfo, PL,dep.fernandorodolfo@camara.leg.br
191,Filipe Barros, PL,dep.filipebarros@camara.leg.br
192,Filipe Martins, PL,dep.filipemartins@camara.leg.br
193,Flávia Morais, PDT,dep.flaviamorais@camara.leg.br
194,Flávio Nogueira, PT,dep.flavionogueira@camara.leg.br
195,Florentino Neto, PT,dep.florentinoneto@camara.leg.br
196,Franciane Bayer, REPUBLICANOS,dep.francianebayer@camara.leg.br
197,Fred Linhares, REPUBLICANOS,dep.fredlinhares@camara.leg.br
198,Gabriel Mota, REPUBLICANOS,dep.gabrielmota@camara.leg.br
199,Gabriel Nunes, PSD,dep.gabrielnunes@camara.leg.br
200,General Girão, PL,dep.generalgirao@camara.leg.br
201,General Pazuello, PL,dep.generalpazuello@camara.leg.br
202,Geovania de Sá, PSDB,dep.geovaniadesa@camara.leg.br
203,Geraldo Mendes, UNIÃO,dep.geraldomendes@camara.leg.br
204,Geraldo Resende, PSDB,dep.geraldoresende@camara.leg.br
205,Gerlen Diniz, PP,dep.gerlendiniz@camara.leg.br
206,Gervásio Maia, PSB,dep.gervasiomaia@camara.leg.br
207,Giacobo, PL,dep.giacobo@camara.leg.br
208,Gilberto Abramo, REPUBLICANOS,dep.gilbertoabramo@camara.leg.br
209,Gilberto Nascimento, PSD,dep.gilbertonascimento@camara.leg.br
210,Gilson Daniel, PODE,dep.gilsondaniel@camara.leg.br
211,Gilson Marques, NOVO,dep.gilsonmarques@camara.leg.br
212,Gilvan da Federal, PL,dep.gilvandafederal@camara.leg.br
213,Gilvan Maximo, REPUBLICANOS,dep.gilvanmaximo@camara.leg.br
214,Giovani Cherini, PL,dep.giovanicherini@camara.leg.br
215,Gisela Simona, UNIÃO,dep.giselasimona@camara.leg.br
216,Glauber Braga, PSOL,dep.glauberbraga@camara.leg.br
217,Glaustin da Fokus, PODE,dep.glaustindafokus@camara.leg.br
218,Gleisi Hoffmann, PT,dep.gleisihoffmann@camara.leg.br
219,Greyce Elias, AVANTE,dep.greyceelias@camara.leg.br
220,Guilherme Boulos, PSOL,dep.guilhermeboulos@camara.leg.br
221,Guilherme Derrite, PL,dep.guilhermederrite@camara.leg.br
222,Guilherme Uchoa, PSB,dep.guilhermeuchoa@camara.leg.br
223,Gustavo Gayer, PL,dep.gustavogayer@camara.leg.br
224,Gustinho Ribeiro, REPUBLICANOS,dep.gustinhoribeiro@camara.leg.br
225,Gutemberg Reis, MDB,dep.gutembergreis@camara.leg.br
226,Heitor Schuch, PSB,dep.heitorschuch@camara.leg.br
227,Helder Salomão, PT,dep.heldersalomao@camara.leg.br
228,Helena Lima, MDB,dep.helenalima@camara.leg.br
229,Hélio Leite, UNIÃO,dep.helioleite@camara.leg.br
230,Helio Lopes, PL,dep.heliolopes@camara.leg.br
231,Henderson Pinto, MDB,dep.hendersonpinto@camara.leg.br
232,Henrique Júnior, PL,dep.henriquejunior@camara.leg.br
233,Hercílio Coelho Diniz, MDB,dep.herciliocoelhodiniz@camara.leg.br
234,Hildo do Candango, REPUBLICANOS,dep.hildodocandango@camara.leg.br
235,Hugo Leal, PSD,dep.hugoleal@camara.leg.br
236,Hugo Motta, REPUBLICANOS,dep.hugomotta@camara.leg.br
237,Icaro de Valmir, PL,dep.icarodevalmir@camara.leg.br
238,Idilvan Alencar, PDT,dep.idilvanalencar@camara.leg.br
239,Igor Timo, PODE,dep.igortimo@camara.leg.br
240,Ismael, PSD,dep.ismael@camara.leg.br
241,Ismael Alexandrino, PSD,dep.ismaelalexandrino@camara.leg.br
242,Isnaldo Bulhões Jr., MDB,dep.isnaldobulhoesjr@camara.leg.br
243,Ivan Valente, PSOL,dep.ivanvalente@camara.leg.br
244,Ivoneide Caetano, PT,dep.ivoneidecaetano@camara.leg.br
245,Iza Arruda, MDB,dep.izaarruda@camara.leg.br
246,Jack Rocha, PT,dep.jackrocha@camara.leg.br
247,Jadyel Alencar, PV,dep.jadyelalencar@camara.leg.br
248,Jandira Feghali, PCdoB,dep.jandirafeghali@camara.leg.br
249,Jefferson Campos, PL,dep.jeffersoncampos@camara.leg.br
250,Jilmar Tatto, PT,dep.jilmartatto@camara.leg.br
251,João Carlos Bacelar, PL,dep.joaocarlosbacelar@camara.leg.br
252,João Daniel, PT,dep.joaodaniel@camara.leg.br
253,João Leão, PP,dep.joaoleao@camara.leg.br
254,João Maia, PP,dep.joaomaia@camara.leg.br
255,Joaquim Passarinho, PL,dep.joaquimpassarinho@camara.leg.br
256,Jonas Donizette, PSB,dep.jonasdonizette@camara.leg.br
257,Jorge Braz, REPUBLICANOS,dep.jorgebraz@camara.leg.br
258,Jorge Goetten, PL,dep.jorgegoetten@camara.leg.br
259,Jorge Solla, PT,dep.jorgesolla@camara.leg.br
260,José Airton Félix Cirilo, PT,dep.joseairtonfelixcirilo@camara.leg.br
261,José Guimarães, PT,dep.joseguimaraes@camara.leg.br
262,José Medeiros, PL,dep.josemedeiros@camara.leg.br
263,José Nelto, PP,dep.josenelto@camara.leg.br
264,José Priante, MDB,dep.josepriante@camara.leg.br
265,José Rocha, UNIÃO,dep.joserocha@camara.leg.br
266,Joseildo Ramos, PT,dep.joseildoramos@camara.leg.br
267,Josenildo, PDT,dep.josenildo@camara.leg.br
268,Josias Gomes, PT,dep.josiasgomes@camara.leg.br
269,Josivaldo JP, PSD,dep.josivaldojp@camara.leg.br
270,Juarez Costa, MDB,dep.juarezcosta@camara.leg.br
271,Julia Zanatta, PL,dep.juliazanatta@camara.leg.br
272,Juliana Cardoso, PT,dep.julianacardoso@camara.leg.br
273,Julio Arcoverde, PP,dep.julioarcoverde@camara.leg.br
274,Júlio Cesar, PSD,dep.juliocesar@camara.leg.br
275,Julio Cesar Ribeiro, REPUBLICANOS,dep.juliocesarribeiro@camara.leg.br
276,Julio Lopes, PP,dep.juliolopes@camara.leg.br
277,Juninho do Pneu, UNIÃO,dep.juninhodopneu@camara.leg.br
278,Junio Amaral, PL,dep.junioamaral@camara.leg.br
279,Júnior Ferrari, PSD,dep.juniorferrari@camara.leg.br
280,Júnior Mano, PL,dep.juniormano@camara.leg.br
281,Keniston Braga, MDB,dep.kenistonbraga@camara.leg.br
282,Kiko Celeguim, PT,dep.kikoceleguim@camara.leg.br
283,Kim Kataguiri, UNIÃO,dep.kimkataguiri@camara.leg.br
284,Lafayette de Andrada, REPUBLICANOS,dep.lafayettedeandrada@camara.leg.br
285,Laura Carneiro, PSD,dep.lauracarneiro@camara.leg.br
286,Lázaro Botelho, PP,dep.lazarobotelho@camara.leg.br
287,Lebrão, UNIÃO,dep.lebrao@camara.leg.br
288,Lêda Borges, PSDB,dep.ledaborges@camara.leg.br
289,Leo Prates, PDT,dep.leoprates@camara.leg.br
290,Leonardo Monteiro, PT,dep.leonardomonteiro@camara.leg.br
291,Leônidas Cristino, PDT,dep.leonidascristino@camara.leg.br
292,Leur Lomanto Júnior, UNIÃO,dep.leurlomantojunior@camara.leg.br
293,Lídice da Mata, PSB,dep.lidicedamata@camara.leg.br
294,Lincoln Portela, PL,dep.lincolnportela@camara.leg.br
295,Lindbergh Farias, PT,dep.lindberghfarias@camara.leg.br
296,Lucas Ramos, PSB,dep.lucasramos@camara.leg.br
297,Lucas Redecker, PSDB,dep.lucasredecker@camara.leg.br
298,Luciano Alves, PSD,dep.lucianoalves@camara.leg.br
299,Luciano Amaral, PV,dep.lucianoamaral@camara.leg.br
300,Luciano Azevedo, PSD,dep.lucianoazevedo@camara.leg.br
301,Luciano Bivar, UNIÃO,dep.lucianobivar@camara.leg.br
302,Luciano Ducci, PSB,dep.lucianoducci@camara.leg.br
303,Luciano Galego, PL,dep.lucianogalego@camara.leg.br
304,Luciano Vieira, PL,dep.lucianovieira@camara.leg.br
305,Lucio Mosquini, MDB,dep.luciomosquini@camara.leg.br
306,Luis Carlos Gomes, REPUBLICANOS,dep.luiscarlosgomes@camara.leg.br
307,Luis Tibé, AVANTE,dep.luistibe@camara.leg.br
308,Luisa Canziani, PSD,dep.luisacanziani@camara.leg.br
309,Luiz Carlos Busato, UNIÃO,dep.luizcarlosbusato@camara.leg.br
310,Luiz Carlos Hauly, PODE,dep.luizcarloshauly@camara.leg.br
311,Luiz Carlos Motta, PL,dep.luizcarlosmotta@camara.leg.br
312,Luiz Couto, PT,dep.luizcouto@camara.leg.br
313,Luiz Fernando Faria, PSD,dep.luizfernandofaria@camara.leg.br
314,Luiz Gastão, PSD,dep.luizgastao@camara.leg.br
315,Luiz Lima, PL,dep.luizlima@camara.leg.br
316,Luiz Nishimori, PSD,dep.luiznishimori@camara.leg.br
317,Luiz Philippe de Orleans e Bragança, PL,dep.luizphilippedeorleansebraganca@camara.leg.br
318,Luiza Erundina, PSOL,dep.luizaerundina@camara.leg.br
319,Luizianne Lins, PT,dep.luiziannelins@camara.leg.br
320,Lula da Fonte, PP,dep.luladafonte@camara.leg.br
321,Magda Mofatto, PRD,dep.magdamofatto@camara.leg.br
322,Marangoni, UNIÃO,dep.marangoni@camara.leg.br
323,Marcel van Hattem, NOVO,dep.marcelvanhattem@camara.leg.br
324,Marcelo Álvaro Antônio, PL,dep.marceloalvaroantonio@camara.leg.br
325,Marcelo Crivella, REPUBLICANOS,dep.marcelocrivella@camara.leg.br
326,Marcelo Moraes, PL,dep.marcelomoraes@camara.leg.br
327,Marcelo Queiroz, PP,dep.marceloqueiroz@camara.leg.br
328,Marcio Alvino, PL,dep.marcioalvino@camara.leg.br
329,Márcio Biolchi, MDB,dep.marciobiolchi@camara.leg.br
330,Márcio Honaiser, PDT,dep.marciohonaiser@camara.leg.br
331,Márcio Jerry, PCdoB,dep.marciojerry@camara.leg.br
332,Márcio Marinho, REPUBLICANOS,dep.marciomarinho@camara.leg.br
333,Marco Brasil, PP,dep.marcobrasil@camara.leg.br
334,Marcon, PT,dep.marcon@camara.leg.br
335,Marcos Aurélio Sampaio, PSD,dep.marcosaureliosampaio@camara.leg.br
336,Marcos Pereira, REPUBLICANOS,dep.marcospereira@camara.leg.br
337,Marcos Pollon, PL,dep.marcospollon@camara.leg.br
338,Marcos Soares, UNIÃO,dep.marcossoares@camara.leg.br
339,Marcos Tavares, PDT,dep.marcostavares@camara.leg.br
340,Maria Arraes, SOLIDARIEDADE,dep.mariaarraes@camara.leg.br
341,Maria do Rosário, PT,dep.mariadorosario@camara.leg.br
342,Maria Rosas, REPUBLICANOS,dep.mariarosas@camara.leg.br
343,Mariana Carvalho, REPUBLICANOS,dep.marianacarvalhoma@camara.leg.br
344,Mario Frias, PL,dep.mariofrias@camara.leg.br
345,Mário Heringer, PDT,dep.marioheringer@camara.leg.br
346,Mário Negromonte Jr., PP,dep.marionegromontejr@camara.leg.br
347,Marussa Boldrin, MDB,dep.marussaboldrin@camara.leg.br
348,Marx Beltrão, PP,dep.marxbeltrao@camara.leg.br
349,Matheus Noronha, PL,dep.matheusnoronha@camara.leg.br
350,Maurício Carvalho, UNIÃO,dep.mauriciocarvalho@camara.leg.br
351,Mauricio do Vôlei, PL,dep.mauriciodovolei@camara.leg.br
352,Mauricio Marcon, PODE,dep.mauriciomarcon@camara.leg.br
353,Mauricio Neves, PP,dep.mauricioneves@camara.leg.br
354,Mauro Benevides Filho, PDT,dep.maurobenevidesfilho@camara.leg.br
355,Max Lemos, PDT,dep.maxlemos@camara.leg.br
356,Meire Serafim, UNIÃO,dep.meireserafim@camara.leg.br
357,Mendonça Filho, UNIÃO,dep.mendoncafilho@camara.leg.br
358,Merlong Solano, PT,dep.merlongsolano@camara.leg.br
359,Mersinho Lucena, PP,dep.mersinholucena@camara.leg.br
360,Messias Donato, REPUBLICANOS,dep.messiasdonato@camara.leg.br
361,Miguel Ângelo, PT,dep.miguelangelo@camara.leg.br
362,Miguel Lombardi, PL,dep.miguellombardi@camara.leg.br
363,Misael Varella, PSD,dep.misaelvarella@camara.leg.br
364,Moses Rodrigues, UNIÃO,dep.mosesrodrigues@camara.leg.br
365,Murillo Gouvea, UNIÃO,dep.murillogouvea@camara.leg.br
366,Murilo Galdino, REPUBLICANOS,dep.murilogaldino@camara.leg.br
367,Natália Bonavides, PT,dep.nataliabonavides@camara.leg.br
368,Naumi Amorim, PSD,dep.naumiamorim@camara.leg.br
369,Nely Aquino, PODE,dep.nelyaquino@camara.leg.br
370,Neto Carletto, PP,dep.netocarletto@camara.leg.br
371,Nicoletti, UNIÃO,dep.nicoletti@camara.leg.br
372,Nikolas Ferreira, PL,dep.nikolasferreira@camara.leg.br
373,Nilto Tatto, PT,dep.niltotatto@camara.leg.br
374,Nitinho, PSD,dep.nitinho@camara.leg.br
375,Odair Cunha, PT,dep.odaircunha@camara.leg.br
376,Olival Marques, MDB,dep.olivalmarques@camara.leg.br
377,Orlando Silva, PCdoB,dep.orlandosilva@camara.leg.br
378,Osmar Terra, MDB,dep.osmarterra@camara.leg.br
379,Ossesio Silva, REPUBLICANOS,dep.ossesiosilva@camara.leg.br
380,Otoni de Paula, MDB,dep.otonidepaula@camara.leg.br
381,Otto Alencar Filho, PSD,dep.ottoalencarfilho@camara.leg.br
382,Padovani, UNIÃO,dep.padovani@camara.leg.br
383,Padre João, PT,dep.padrejoao@camara.leg.br
384,Pastor Diniz, UNIÃO,dep.pastordiniz@camara.leg.br
385,Pastor Eurico, PL,dep.pastoreurico@camara.leg.br
386,Pastor Henrique Vieira, PSOL,dep.pastorhenriquevieira@camara.leg.br
387,Pr. Marco Feliciano, PL,dep.pr.marcofeliciano@camara.leg.br
388,Pastor Sargento Isidório, AVANTE,dep.pastorsargentoisidorio@camara.leg.br
389,Patrus Ananias, PT,dep.patrusananias@camara.leg.br
390,Pauderney Avelino, UNIÃO,dep.pauderneyavelino@camara.leg.br
391,Paulão, PT,dep.paulao@camara.leg.br
392,Paulinho da Força, SOLIDARIEDADE,dep.paulinhodaforca@camara.leg.br
393,Paulinho Freire, UNIÃO,dep.paulinhofreire@camara.leg.br
394,Paulo Abi-Ackel, PSDB,dep.pauloabiackel@camara.leg.br
395,Paulo Alexandre Barbosa, PSDB,dep.pauloalexandrebarbosa@camara.leg.br
396,Paulo Azi, UNIÃO,dep.pauloazi@camara.leg.br
397,Paulo Folletto, PSB,dep.paulofolletto@camara.leg.br
398,Paulo Freire Costa, PL,dep.paulofreirecosta@camara.leg.br
399,Paulo Guedes, PT,dep.pauloguedes@camara.leg.br
400,Paulo Litro, PSD,dep.paulolitro@camara.leg.br
401,Paulo Magalhães, PSD,dep.paulomagalhaes@camara.leg.br
402,Paulo Marinho Jr, PL,dep.paulomarinhojr@camara.leg.br
403,Pedro Aihara, PRD,dep.pedroaihara@camara.leg.br
